nomefantasia;assunto
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Oi Fixo;Internet Fixa
Oi Celular;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Telefonia Fixa
Oi Fixo;Telefonia Fixa
Oi Fixo;Internet Fixa
Pontofrio.com;Tablet
Magazineluiza.com;Móveis e Colchões
Ourocard;Programas de Fidelidade / Benefícios (pontos, milhagem etc)
Submarino;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc )
Pontofrio.com;Televisão
Compra Certa;Refrigerador / freezer
Vivo - Telefônica ;Internet Fixa
Banco Santander;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Claro Fixo - Embratel;Telefonia Fixa
Extra.com;Aparelho celular
Banco do Brasil;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Internet Fixa
Vivo - Telefônica ;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Banco Bradesco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Tim;Telefonia Móvel Pós-paga
Claro Celular;Telefonia Móvel Pré-paga
Claro Celular;Internet Móvel
Claro Celular;Internet Móvel
Vivo - Telefônica ;Telefonia Móvel Pré-paga
Claro TV ;TV por Assinatura
Oi Fixo;Demais aparelhos de comunicação
SKY;TV por Assinatura
SKY;TV por Assinatura
Vivo - Telefônica ;Telefonia Móvel Pré-paga
Tam;Aéreo
Tim;Telefonia Móvel Pós-paga
Pontofrio.com;Aparelho celular
Vivo - Telefônica ;Internet Móvel
Oi Fixo;TV por Assinatura
Americanas.com;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Banco Santander Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Caixa Econômica Federal;Crédito Consignado (Empréstimo descontado em folha de pagamento)
SKY;TV por Assinatura
Oi Fixo;Telefonia Fixa
BB Consórcios;Consórcios (exceto imóveis)
Extra ;Produtos industrializados (embutidos, enlatados, conservas etc)
Claro Celular;Aparelho celular
Oi Fixo;Internet Fixa
Oi Celular;Aparelho celular
Vivo - Telefônica ;Internet Fixa
Recovery do Brasil Consultoria ;Financiamentos de Veículos / Leasing
Caixa Econômica Federal;Financiamentos de Veículos / Leasing
Oi Fixo;Pacote de Serviços ( Combo )
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Oi Fixo;Microcomputador e laptops
Oi Fixo;Telefonia Fixa
Tim;Aparelho celular
Claro Celular;Aparelho celular
Banco Itaú Unibanco;Financiamentos de Veículos / Leasing
Vivo - Telefônica ;Internet Fixa
Tam;Aéreo
Casas Bahia;Cartão de Crédito / Cartão de Débito / Cartão de Loja
HSBC;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Bradesco Capitalização;Investimentos / Aplicações / Previdência Privada
Oi Fixo;TV por Assinatura
Amil;Plano de Saúde (convênio, autogestão, seguro saúde )
Tim;Telefonia Móvel Pré-paga
Samsung;Televisão
Oi Fixo;Telefonia Fixa
SKY;TV por Assinatura
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Oi Celular;Internet Móvel
Oi Fixo;Telefonia Fixa
Banco Itaú Unibanco;Atendimento Bancário
Claro Celular;Internet Móvel
Banco Itaú Unibanco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Tim;Telefonia Móvel Pré-paga
Extra.com;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc )
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Tim;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Internet Fixa
Oi Celular;Telefonia Móvel Pós-paga
