comocomproucontratou;problema
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Internet;Não entrega / demora na entrega do produto
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Loja física;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Dificuldade para alterar/ ativar serviços
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Alteração / rescisão de contrato sem solicitação / aviso prévio
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Cobrança submetendo a ofensa, constrangimento ou ameaça
Loja física;SAC - Descortesia / despreparo / demora
Loja física;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Loja física;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Loja física;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;SAC - Demanda não resolvida / não respondida
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Publicidade abusiva / ofensiva / discriminatória
Telefone;Cobrança após cancelamento do serviço
Não comprei / contratei;Dificuldade para alterar/ ativar serviços
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Dificuldade na recarga de créditos (não inserida, não revalidada)
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;SAC - Descortesia / despreparo / demora
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Alteração de plano/contrato sem solicitação ou aviso prévio
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Dificuldade de contato / demora no atendimento
Telefone;Cobrança de compra/saque não reconhecido / Contestação de cobrança
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade de contato / demora no atendimento
Internet;Cobrança adicional não informada previamente (frete, montagem, taxas)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;SAC - Demanda não resolvida / não respondida
Telefone;SAC - Demanda não resolvida / não respondida
Loja física;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc
Internet;SAC - Demanda não resolvida / não respondida
Loja física;Portabilidade não efetivada
Internet;Não entrega / demora na entrega do produto
Não comprei / contratei;Negativação indevida referente à pagamento já efetuado
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Não entrega / demora na entrega do produto
Loja física;Dificuldade para alterar/ ativar serviços
Loja física;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Internet;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Loja física;Dificuldade para contratar / recusa injustificada
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Cobrança submetendo a ofensa, constrangimento ou ameaça
Telefone;SAC - Demanda não resolvida / não respondida
Telefone;Dificuldade para alterar/ ativar serviços
Telefone;SAC - Dificuldade para cancelar o serviço
Telefone;Cobrança após cancelamento do serviço
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)
Internet;Embalagem danificada / violada
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade de contato / demora no atendimento
Não comprei / contratei;SAC - Dificuldade para cancelar o serviço
Não comprei / contratei;Dificuldade na Renegociação / parcelamento de dívida
Loja física;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;SAC - Descortesia / despreparo / demora
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;SAC - Demanda não resolvida / não respondida
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Serviço indisponível para a região ou sem previsão
Telefone;Dificuldade para alterar/ ativar serviços
Telefone;SAC - Dificuldade para cancelar o serviço
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;Não entrega / demora na entrega do produto
Domicílio;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Loja física;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor
Telefone;Dificuldade para rescindir o contrato / cancelar o serviço
Não comprei / contratei;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Domicílio;Cobrança de tarifas, taxas, valores não previstos / não informados
Domicílio;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;SAC - Demanda não resolvida / não respondida
Telefone;Negativação indevida referente à pagamento já efetuado
Loja física;Negativação indevida referente à pagamento já efetuado
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Internet;Dificuldade para contratar / recusa injustificada
Internet;Não entrega / demora na entrega do produto
Não comprei / contratei;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Telefone;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Extravio/ avaria de bagagem, carga, correspondência
Loja física;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Não comprei / contratei;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Não comprei / contratei;Dificuldade para alterar ou cancelar o contrato /serviço
Telefone;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Stand, feiras e eventos;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Suspensão ou desligamento indevido do serviço
Loja física;Dificuldade na Renegociação / parcelamento de dívida
Internet;Alteração de plano/contrato sem solicitação ou aviso prévio
Loja física;Serviço indisponível para a região ou sem previsão
Telefone;Suspensão ou desligamento indevido do serviço
Loja física;Descumprimento do estatuto do idoso
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Loja física;Publicidade abusiva / ofensiva / discriminatória
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança após cancelamento do serviço
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Telefone;Cobrança submetendo a ofensa, constrangimento ou ameaça
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Ganhei de presente;SAC - Dificuldadede de contato / acesso
Internet;Cobrança de tarifas, taxas, valores não previstos / não informados
Internet;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Falta de peça de reposição
Não comprei / contratei;Cobrança submetendo a ofensa, constrangimento ou ameaça
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;SAC - Demanda não resolvida / não respondida
Telefone;SAC - Demanda não resolvida / não respondida
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Cobrança após cancelamento do serviço
Telefone;Cobrança após cancelamento do serviço
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Cobrança de tarifas, taxas, valores não previstos / não informados
Internet;Dificuldade para alterar/ ativar serviços
Domicílio;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Internet;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Não comprei / contratei;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Cobrança após cancelamento do serviço
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;SAC - Demanda não resolvida / não respondida
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Telefone;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Embalagem danificada / violada
Não comprei / contratei;Alteração de plano/contrato sem solicitação ou aviso prévio
Internet;Plano/ serviço extinto sem substituto equivalente
Não comprei / contratei;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Dificuldade para contratar / recusa injustificada
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Produto entregue incompleto / diferente do  pedido
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Produto entregue incompleto / diferente do  pedido
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Loja física;Dificuldade de contato ou acesso aos serviços - caixa eletrônico, agência, internet banking
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Internet;SAC - Demanda não resolvida / não respondida
Telefone;Serviço indisponível para a região ou sem previsão
Não comprei / contratei;Bloqueio / Suspensão indevida do serviço
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Internet;Imposição de multa indevida / abusiva
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Domicílio;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado
Loja física;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor
Internet;SAC - Dificuldadede de contato / acesso
Internet;SAC - Demanda não resolvida / não respondida
Ganhei de presente;Dificuldade para contratar / recusa injustificada
Loja física;SAC - Demanda não resolvida / não respondida
Loja física;Dificuldade de contato / demora no atendimento
Internet;Dificuldade para contratar / recusa injustificada
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
